Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sun,2021-01-03,15:00 (19:30),Roma,2.1,1–0,0.4,Sampdoria,,Stadio Olimpico,Daniele Chiffi,Match Report,
15,Sun,2021-01-03,15:00 (19:30),Cagliari,1.0,1–4,3.9,Napoli,,Sardegna Arena,Gianluca Manganiello,Match Report,
15,Sun,2021-01-03,15:00 (19:30),Spezia,0.8,0–1,1.7,Hellas Verona,,Stadio Dino Manuzzi,Luca Pairetto,Match Report,
15,Sun,2021-01-03,18:00 (22:30),Benevento,2.5,0–2,1.5,Milan,,Stadio Ciro Vigorito,Fabrizio Pasqua,Match Report,
15,Sun,2021-01-03,20:45 (01:15),Juventus,2.8,4–1,1.7,Udinese,,Allianz Stadium,Piero Giacomelli,Match Report,
,,,,,,,,,,,,,
16,Wed,2021-01-06,12:30 (17:00),Cagliari,0.9,1–2,1.2,Benevento,,Sardegna Arena,Eugenio Abbattista,Match Report,
16,Wed,2021-01-06,15:00 (19:30),Bologna,1.0,2–2,1.6,Udinese,,Stadio Renato Dall'Ara,Giovanni Ayroldi,Match Report,
16,Wed,2021-01-06,15:00 (19:30),Sampdoria,1.2,2–1,2.5,Inter,,Stadio Comunale Luigi Ferraris,Paolo Valeri,Match Report,
16,Wed,2021-01-06,15:00 (19:30),Atalanta,1.7,3–0,0.0,Parma,,Stadio Atleti Azzurri d'Italia,Juan Sacchi,Match Report,
16,Wed,2021-01-06,15:00 (19:30),Lazio,1.2,2–1,1.6,Fiorentina,,Stadio Olimpico,Rosario Abisso,Match Report,
16,Wed,2021-01-06,15:00 (19:30),Sassuolo,1.6,2–1,1.1,Genoa,,Stadio Città del Tricolore,Michael Fabbri,Match Report,
16,Wed,2021-01-06,15:00 (19:30),Crotone,0.8,1–3,2.2,Roma,,Stadio Ezio Scida,Marco Piccinini,Match Report,
16,Wed,2021-01-06,15:00 (19:30),Torino,1.4,1–1,0.3,Hellas Verona,,Stadio Olimpico di Torino,Marco Di Bello,Match Report,
16,Wed,2021-01-06,18:00 (22:30),Napoli,3.6,1–2,2.0,Spezia,,Stadio San Paolo,Maurizio Mariani,Match Report,
16,Wed,2021-01-06,20:45 (01:15),Milan,1.3,1–3,1.7,Juventus,,Stadio Giuseppe Meazza,Massimiliano Irrati,Match Report,
,,,,,,,,,,,,,
17,Sat,2021-01-09,15:00 (19:30),Benevento,0.9,1–4,4.2,Atalanta,,Stadio Ciro Vigorito,Gianluca Manganiello,Match Report,
